,start_station,start_date,Latitude,Longitude,Neighborhood
1,10th+&+florida+ave+nw,10/9/2013 8:55,38.92052,-77.02599,Columbia Heights
4,10th+&+monroe+st+ne,10/16/2010 13:55,38.93237,-76.9958599,Edgewood
6,10th+st+&+constitution+ave+nw,10/7/2010 15:42,38.89208,-77.02603,Northwest Washington
7,10th+st+&+l'enfant+plaza+sw,5/19/2016 12:08,38.88358,-77.02485,Southwest Federal Center
9,11th+&+girard+st+nw,6/8/2017 4:32,38.92595,-77.02493,Pleasant Plains
12,11th+&+kenyon+st+nw,10/8/2010 14:02,38.92994,-77.02298,Park View
15,11th+&+s+st+nw,4/8/2015 14:23,38.9141,-77.02703,Cardozo
17,12th+&+hayes+st,9/20/2010 18:51,38.89972,-76.94346,Upper Central NE
19,12th+&+irving+st+ne,5/30/2013 11:53,38.93152,-77.00435,Northeast Washington
20,12th+&+l+st+nw,6/25/2012 16:55,38.88866,-77.02795,Southwest Washington
21,12th+&+newton+st+ne,10/7/2010 18:35,38.93368,-76.9879799,Brookland
22,12th+&+u+st+nw,8/1/2014 0:11,38.88866,-77.02795,Southwest Washington
23,12th+st+&+pennsylvania+ave+se,12/15/2016 14:06,38.88214,-76.99024,Southeast Washington
25,13th+&+h+st+ne,10/9/2010 14:51,38.90018,-76.988,H Street Corridor
26,13th+&+u+st+nw,6/14/2013 13:43,38.917,-77.03076,Cardozo
28,13th+st+&+new+york+ave+nw,10/18/2010 14:08,38.90016,-77.02963,Northwest Washington
29,14th+&+belmont+st+nw,10/2/2013 9:10,38.92051,-77.03334,Columbia Heights
30,14th+&+d+st+nw+/+ronald+reagan+building,4/20/2011 10:17,38.89478,-77.01284,Northwest Washington
31,14th+&+d+st+se,9/22/2010 15:45,38.88981,-76.9855,Northeast Washington
32,14th+&+g+st+nw,11/8/2010 16:29,38.88861,-77.03196,Southwest Washington
33,14th+&+girard+st+nw,5/5/2016 12:30,38.92595,-77.02493,Pleasant Plains
34,14th+&+harvard+st+nw,9/20/2010 12:30,38.92704,-77.02377,Pleasant Plains
35,14th+&+irving+st+nw,8/2/2016 13:21,38.92863,-77.03201,Columbia Heights
36,14th+&+l+st+nw,4/5/2016 9:17,38.88861,-77.03196,Southwest Washington
37,14th+&+r+st+nw,9/17/2010 12:24,38.88861,-77.03196,Southwest Washington
38,14th+&+rhode+island+ave+nw,9/20/2010 17:46,38.90883,-77.03195,Logan Circle
39,14th+&+upshur+st+nw,4/12/2013 17:36,38.94189,-77.02488,Petworth
40,14th+&+v+st+nw,9/17/2010 11:00,38.88861,-77.03196,Southwest Washington
41,14th+st+&+colorado+ave+nw,4/12/2013 16:37,38.95576,-77.03343,16th Street Heights
42,14th+st+&+new+york+ave+nw,10/1/2014 8:35,38.89939,-77.03194,Northwest Washington
43,14th+st+&+spring+rd+nw,9/20/2010 19:14,38.9371,-77.03275,Petworth
44,14th+st+heights+/+14th+&+crittenden+st+nw,9/26/2010 21:42,38.94717,-77.03273,16th Street Heights
46,15th+&+east+capitol+st+ne,5/14/2013 13:09,38.88982,-76.98366,Kingman Park
47,15th+&+euclid+st++nw,5/6/2013 12:44,38.92377,-77.02959,Columbia Heights
48,15th+&+f+st+ne,5/30/2013 12:13,38.88982,-76.98366,Kingman Park
49,15th+&+hayes+st,9/20/2010 19:53,38.89972,-76.94346,Upper Central NE
50,15th+&+k+st+nw,7/2/2012 11:09,38.88885,-77.033,Southwest Washington
51,15th+&+l+st+nw,10/7/2014 13:37,38.88885,-77.033,Southwest Washington
52,15th+&+m+st+nw,6/1/2017 1:25,38.88885,-77.033,Southwest Washington
54,15th+&+p+st+nw,9/20/2010 13:13,38.88885,-77.033,Southwest Washington
55,15th+&+w+st+nw,1/5/2017 13:50,38.88885,-77.033,Southwest Washington
56,15th+st+&+constitution+ave+nw,6/22/2017 1:03,38.8921,-77.03365,Northwest Washington
57,15th+st+&+massachusetts+ave+se,12/22/2011 9:16,38.88706,-76.98363,Barney Circle
58,15th+st+&+pennsylvania+ave+nw/pershing+park,9/27/2017 1:11,38.89879,-77.03364,Connecticut Ave/ K Street
59,16th+&+harvard+st+nw,9/20/2010 12:39,38.92704,-77.02377,Pleasant Plains
60,16th+&+irving+st+nw,3/10/2016 10:40,38.92863,-77.03201,Columbia Heights
61,16th+&+k+st+nw,8/9/2016 10:17,38.99208,-77.03618,Downtown Silver Spring
62,16th+&+q+st+se+/+anacostia+hs,10/1/2016 11:29,38.8898,-76.9822,Kingman Park
63,16th+&+r+st+nw,3/10/2016 17:48,38.99208,-77.03618,Downtown Silver Spring
64,16th+&+u+st+nw,10/15/2010 10:24,38.99208,-77.03618,Downtown Silver Spring
65,17th+&+corcoran+st+nw,9/24/2010 10:37,38.91187,-77.03899,Dupont Circle
66,17th+&+g+st+nw,10/7/2014 9:18,38.8899,-77.03946,Northwest Washington
67,17th+&+k+st+nw,5/1/2013 5:49,38.8899,-77.03946,Northwest Washington
68,17th+&+k+st+nw+/+farragut+square,4/29/2011 9:34,38.8899,-77.03946,Northwest Washington
70,17th+&+rhode+island+ave+nw,11/18/2011 13:13,38.90656,-77.0385,Dupont Circle
71,17th+st+&+independence+ave+sw,6/14/2016 11:31,38.88796,-77.04022,Southwest Washington
72,17th+st+&+massachusetts+ave+nw,5/6/2013 11:59,38.90793,-77.03849,Dupont Circle
74,18th+&+c+st+nw,4/19/2016 9:17,38.89353,-77.04147,Foggy Bottom
75,18th+&+eads+st.,4/1/2013 16:36,38.89544,-76.95614,Mayfair
76,18th+&+hayes+st,9/20/2010 23:16,38.89972,-76.94346,Upper Central NE
77,18th+&+m+st+nw,10/7/2010 19:02,38.90516,-77.06366,Georgetown
78,18th+&+monroe+st+ne,3/8/2017 15:37,38.93237,-76.9958599,Edgewood
79,18th+&+r+st+nw,11/10/2014 11:58,38.91261,-77.04059,Dupont Circle
80,18th+&+wyoming+ave+nw,4/3/2013 15:40,38.91874,-77.04168,Reed-Cooke
81,18th+st+&+pennsylvania+ave+nw,11/29/2011 14:44,38.89959,-77.04171,Connecticut Ave/ K Street
82,18th+st+&+rhode+island+ave+ne,5/30/2013 12:14,38.92761,-76.97909,Northeast Washington
83,18th+st+&+wyoming+ave+nw,5/1/2013 7:20,38.91874,-77.04168,Reed-Cooke
84,19th+&+e+street+nw,9/20/2010 12:18,38.89613,-77.02478,Northwest Washington
85,19th+&+east+capitol+st+se,9/20/2010 11:57,38.88982,-76.97727,Hill East
86,19th+&+g+st+nw,2/4/2015 10:34,38.89833,-77.01729,Northwest Washington
87,19th+&+k+st+nw,6/27/2012 8:55,38.90265,-77.0391099,Connecticut Ave/ K Street
88,19th+&+l+st+nw,10/18/2010 14:19,38.90374,-77.04159,Connecticut Ave/ K Street
89,19th+&+new+hampshire+ave+nw,10/19/2010 16:02,38.94685,-77.01648,Petworth
90,19th+&+savannah+st+se,9/30/2017 4:55,38.84695,-76.97389,Shipley
91,19th+st+&+constitution+ave+nw,10/16/2010 15:51,38.89209,-77.04347,Northwest Washington
92,19th+st+&+pennsylvania+ave+nw,9/20/2010 12:09,38.90021,-77.04346,Connecticut Ave/ K Street
100,1st+&+rhode+island+ave+nw,12/6/2011 9:11,38.91567,-77.01216,Bloomingdale
101,1st+&+s+capitol+st+se+/+oxon+run+trail,9/29/2017 11:58,38.88348,-77.00908,Capitol Hill
105,20th+&+e+st+nw,9/20/2010 17:55,38.89613,-77.02478,Northwest Washington
106,20th+&+l+st+nw,6/25/2012 9:42,38.90374,-77.04159,Connecticut Ave/ K Street
107,20th+&+o+st+nw+/+dupont+south,2/10/2012 17:34,38.90857,-77.04554,Dupont Circle
108,20th+st+&+florida+ave+nw,9/20/2010 18:52,38.91512,-77.04489,Dupont Circle
109,20th+st+&+virginia+ave+nw,1/31/2013 17:09,38.89452,-77.04523,Foggy Bottom
110,21st+&+i+st+nw,9/20/2010 12:14,38.90134,-77.04145,Connecticut Ave/ K Street
111,21st+&+m+st+nw,9/20/2010 15:05,38.90516,-77.06366,Georgetown
112,21st+st+&+constitution+ave+nw,1/31/2013 12:46,38.89209,-77.04669,Northwest Washington
113,21st+st+&+pennsylvania+ave+nw,6/27/2012 11:10,38.90133,-77.04664,Connecticut Ave/ K Street
115,22nd+&+eads+st,8/1/2014 8:22,38.89544,-76.95614,Mayfair
116,22nd+&+h+st+nw,7/13/2017 4:06,38.89981,-77.02107,Northwest Washington
117,22nd+&+i+st+nw+/+foggy+bottom,7/16/2012 9:03,38.9007,-77.05308,Foggy Bottom
118,22nd+&+p+st+nw,4/19/2016 15:28,38.90964,-77.03959,Dupont Circle
119,22nd+st+&+constitution+ave+nw,10/5/2016 15:40,38.8921,-77.04885,Northwest Washington
121,23rd+&+e+st+nw,1/31/2013 13:59,38.89613,-77.02478,Northwest Washington
122,23rd+&+eads,9/23/2010 0:33,38.8996799,-77.05013,George Washington University
123,23rd+&+eads+st,4/1/2013 6:57,38.89544,-76.95614,Mayfair
124,23rd+&+m+st+nw,8/1/2017 2:13,38.90516,-77.06366,Georgetown
125,24th+&+n+st+nw,7/6/2012 13:17,38.90686,-77.06367,Georgetown
126,24th+&+r+st+ne+/+national+arboretum,10/1/2016 3:52,38.91259,-76.97395,Arboretum
127,25th+st+&+pennsylvania+ave+nw,10/29/2010 16:36,38.90364,-77.0533,West End
131,28th+st+s+&+s+meade+st,3/28/2013 10:44,38.86854,-76.96673,Randle Highlands
133,2nd+st+&+massachusetts+ave+ne,5/27/2016 13:22,38.8952,-77.00351,Northeast Washington
134,2nd+st+&+seaton+pl+ne,6/1/2017 4:30,38.9148,-77.00348,Eckington
135,3000+connecticut+ave+nw+/+national+zoo,12/21/2011 19:03,38.9299,-77.05557,Woodley Park
136,31st+&+water+st+nw,3/24/2017 14:35,38.90374,-77.06697,Georgetown
138,33rd+&+water+st+nw,7/1/2016 0:56,38.90374,-77.06697,Georgetown
139,34th+&+water+st+nw,7/9/2014 12:14,38.90374,-77.06697,Georgetown
140,34th+st+&+minnesota+ave+se,6/4/2013 11:21,38.88362,-76.95749,Greenway
141,34th+st+&+wisconsin+ave+nw,10/15/2010 14:16,38.91576,-77.06779,Georgetown
142,36th+&+calvert+st+nw+/+glover+park,11/8/2010 14:33,38.92325,-77.046,Lanier Heights
143,37th+&+o+st+nw+/+georgetown+university,10/25/2010 16:57,38.90849,-77.05932,Georgetown
144,39th+&+calvert+st+nw+/+stoddert,2/10/2012 13:16,38.92255,-77.07791,Northwest Washington
145,39th+&+veazey+st+nw,2/11/2013 16:57,38.94397,-77.0711,North Cleveland Park
148,3rd+&+g+st+se,11/30/2011 10:54,38.88878,-77.0152,Southwest Washington
149,3rd+&+h+st+ne,10/14/2010 18:08,38.88878,-77.0152,Southwest Washington
151,3rd+&+tingey+st+se,10/2/2013 7:48,38.87491,-76.99863,Washington Navy Yard
152,3rd+&+underwood+st+nw,3/8/2017 13:03,38.96897,-77.03187,Brightwood
154,3rd+st+&+riggs+rd+ne,12/24/2016 17:27,38.95692,-77.0024,Lamond Riggs
156,4th+&+adams+st+ne,9/16/2010 10:11,38.9202299,-76.97796,Langdon
157,4th+&+c+st+sw,4/1/2017 1:27,38.88982,-77.00057,Capitol Hill
158,4th+&+d+st+nw+/+judiciary+square,6/25/2011 9:59,38.89478,-77.01284,Northwest Washington
159,4th+&+e+st+sw,12/1/2011 16:58,38.88982,-77.00057,Capitol Hill
160,4th+&+east+capitol+st+ne,10/29/2010 17:35,38.88981,-76.99752,Capitol Hill
161,4th+&+kennedy+st+nw,10/1/2016 9:17,38.95628,-77.02542,Brightwood Park
162,4th+&+m+st+sw,9/20/2010 16:34,38.88982,-77.00057,Capitol Hill
163,4th+&+w+st+ne,7/1/2014 6:42,38.8888,-77.01756,Southwest Washington
164,4th+st+&+madison+dr+nw,6/14/2016 8:10,38.8906,-77.01757,Northwest Washington
165,4th+st+&+massachusetts+ave+nw,9/21/2010 17:44,38.90018,-77.0162,Mount Vernon Square
166,4th+st+&+mississippi+ave+se,9/21/2017 1:11,38.83611,-77.00106,Congress Heights
167,4th+st+&+rhode+island+ave+ne,1/1/2012 7:48,38.91969,-77.00058,Eckington
170,5th+&+kennedy+st+nw,4/12/2013 16:44,38.95628,-77.02542,Brightwood Park
171,5th+st+&+k+st+nw,9/20/2010 12:05,38.90252,-77.01893,Mount Vernon Triangle
172,5th+st+&+massachusetts+ave+nw,5/6/2013 10:25,38.90112,-77.01893,Mount Vernon Square
173,61st+st+&+banks+pl+ne,10/9/2016 12:26,38.89194,-76.91365,Grant Park
175,6th+&+k+st+ne,12/21/2016 18:39,38.9025,-77.00084,Near Northeast
177,6th+&+water+st+sw+/+sw+waterfront,1/1/2014 9:33,38.87492,-77.0207,Southwest Waterfront
178,6th+st+&+indiana+ave+nw,4/3/2013 10:31,38.89441,-77.01991,Northwest Washington
179,7th+&+e+st+sw,3/24/2017 12:31,38.88981,-76.99616,Capitol Hill
180,7th+&+f+st+nw+/+national+portrait+gallery,4/29/2011 14:10,38.89735,-77.02675,Northwest Washington
181,7th+&+f+st+nw/portrait+gallery,10/1/2016 0:08,38.89735,-77.02675,Northwest Washington
182,7th+&+r+st+nw+/+shaw+library,11/29/2011 20:11,38.91261,-77.02219,Shaw
184,7th+&+water+st+sw+/+sw+waterfront,10/13/2010 10:10,38.87492,-77.0207,Southwest Waterfront
185,8th+&+d+st+nw,7/23/2013 8:36,38.88981,-76.99495,Northeast Washington
186,8th+&+east+capitol+st+ne,5/14/2013 12:20,38.88981,-76.99752,Capitol Hill
187,8th+&+eye+st+se+/+barracks+row,9/24/2010 13:11,38.87928,-76.99451,Capitol Hill
189,8th+&+f+st+nw,7/1/2015 7:24,38.88981,-76.99495,Northeast Washington
190,8th+&+f+st+nw+/+national+portrait+gallery,10/1/2012 1:31,38.89735,-77.02675,Northwest Washington
191,8th+&+h+st+nw,10/8/2010 12:21,38.89981,-77.02107,Northwest Washington
192,8th+&+o+st+nw,7/29/2015 11:20,38.88981,-76.99495,Northeast Washington
193,9th+&+upshur+st+nw,12/6/2011 23:55,38.94189,-77.02488,Petworth
